"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"168","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","John Lovett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Troy Hairston II (HOU)","0","0","0","0","0","0","5","8","19","3.8","0","0","12","0.0","0.0","0.0%"
"172","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"173","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Jake Funk (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Nick Bellore (SEA)","1","3","3.0","3","0","0","0","0","0","0","0","0","12","0.0","0.0","7.0%"
"177","Kenjon Barner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Trenton Cannon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"181","Jason Cabinda (DET)","1","4","4.0","4","0","0","1","4","5","5.0","0","0","7","0.0","0.0","0.0%"
"182","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","7","-2.0","-0.3","0.0%"
""
""
